   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:1(<module>)
       40    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
     1204    0.001    0.000    0.019    0.000 <__array_function__ internals>:2(append)
    15718    0.010    0.000    0.042    0.000 <__array_function__ internals>:2(array_equal)
      602    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(bincount)
     1207    0.002    0.000    0.007    0.000 <__array_function__ internals>:2(concatenate)
     1219    0.002    0.000    0.006    0.000 <__array_function__ internals>:2(copyto)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
      603    0.002    0.000    0.039    0.000 <__array_function__ internals>:2(insert)
       20    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(isclose)
      603    0.001    0.000    0.017    0.000 <__array_function__ internals>:2(moveaxis)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
     1204    0.001    0.000    0.006    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(repeat)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(tile)
     1607    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
    806/8    0.003    0.000    0.540    0.068 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
8137/7786    0.017    0.000    0.320    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1607    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      806    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      806    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
      806    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1607    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      801    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
  1037/11    0.001    0.000    0.538    0.049 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     7021    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      802    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     1386    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:391(cached)
     1340    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      763    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       30    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      653    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      763    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  763/753    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   763/10    0.003    0.000    0.539    0.054 <frozen importlib._bootstrap>:664(_load_unlocked)
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      796    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
    26/25    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      770    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     2364    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     2364    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
  796/775    0.004    0.000    0.061    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    805/8    0.002    0.000    0.540    0.068 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      655    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      653    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      654    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      653    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1099(set_data)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
    80/74    0.000    0.000    0.059    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    80/51    0.000    0.000    0.057    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
     6651    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     6651    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1307    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2614    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       97    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     1364    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      770    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3156    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      770    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     1164    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      784    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      735    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1241    0.008    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       98    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     1065    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      833    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:185(_write_atomic)
     1306    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      733    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:522(_calc_mode)
      653    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      653    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      653    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      652    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:683(_code_to_timestamp_pyc)
     1241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      735    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
     1958    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      653    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    653/9    0.001    0.000    0.517    0.057 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:942(source_to_code)
      653    0.005    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       98    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      225    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:32(moduleInformation)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 <string>:50(moduleInformation)
        1    0.000    0.000    0.000    0.000 ElementPath.py:1(<module>)
        6    0.000    0.000    0.000    0.000 ElementPath.py:108(_is_wildcard_tag)
        6    0.000    0.000    0.000    0.000 ElementPath.py:153(prepare_child)
    56/32    0.000    0.000    0.000    0.000 ElementPath.py:165(select)
        1    0.000    0.000    0.000    0.000 ElementPath.py:350(_SelectorContext)
        8    0.000    0.000    0.000    0.000 ElementPath.py:352(__init__)
        8    0.000    0.000    0.000    0.000 ElementPath.py:360(iterfind)
        8    0.000    0.000    0.000    0.000 ElementPath.py:416(findtext)
       12    0.000    0.000    0.000    0.000 ElementPath.py:74(xpath_tokenizer)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1109(_ListDataStream)
